City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Windspeed,Country
provideniya,97,1610981418,86,64.3833,-173.3,-10.23,6.98,RU
samfya,100,1610981627,78,-11.3649,29.5565,75.43,4.7,ZM
nanortalik,100,1610981452,84,60.1432,-45.2371,28.47,3.49,GL
kaitangata,77,1610981441,87,-46.2817,169.8464,50.0,1.99,NZ
leningradskiy,100,1610981379,85,69.3833,178.4167,-23.13,7.9,RU
hurricane,1,1610981628,50,37.1753,-113.2899,35.6,3.44,US
tam ky,75,1610981628,82,15.5667,108.4833,62.6,3.44,VN
mareeba,75,1610981628,88,-17,145.4333,77.0,2.3,AU
clyde river,90,1610981362,85,70.4692,-68.5914,5.0,12.66,CA
sinnamary,4,1610981481,72,5.3833,-52.95,82.2,14.03,GF
north bend,1,1610981629,100,43.4065,-124.2243,41.0,6.91,US
butaritari,29,1610981407,79,3.0707,172.7902,80.22,18.9,KI
esperance,0,1610981451,68,-33.8667,121.9,64.4,14.97,AU
bystryy istok,100,1610981629,95,52.371,84.3873,19.17,9.48,RU
kovdor,100,1610981629,93,67.5662,30.4758,11.1,5.32,RU
port hardy,90,1610981629,100,50.6996,-127.4199,42.8,6.91,CA
ituacu,61,1610981629,52,-13.8133,-41.2967,81.95,6.38,BR
richards bay,36,1610981630,66,-28.783,32.0377,78.28,9.51,ZA
vanimo,100,1610981630,83,-2.6741,141.3028,78.42,3.42,PG
rio grande,40,1610981630,57,-32.035,-52.0986,77.0,16.11,BR
russell,1,1610981531,86,32.3502,-85.1999,42.01,5.12,US
port elizabeth,0,1610981119,64,-33.918,25.5701,73.4,17.27,ZA
flagstaff,1,1610981630,35,35.1981,-111.6513,21.2,3.4,US
pisco,60,1610981356,78,-13.7,-76.2167,73.0,5.75,PE
zhigansk,43,1610981631,76,66.7697,123.3711,-51.21,2.98,RU
celestun,65,1610981631,63,20.8667,-90.4,70.02,11.32,MX
san juan,0,1610981400,17,-31.5375,-68.5364,86.0,6.46,AR
lebu,0,1610981380,62,-37.6167,-73.65,62.94,21.05,CL
cidreira,66,1610981352,59,-30.1811,-50.2056,76.1,10.96,BR
pringsewu,100,1610981631,93,-5.3582,104.9744,73.02,6.89,ID
amapa,76,1610981499,71,1,-52,83.98,1.81,BR
auki,63,1610981478,86,-8.7676,160.7034,78.89,3.29,SB
salalah,0,1610981383,47,17.0151,54.0924,77.0,3.44,OM
chanika,94,1610981632,86,-5.4167,38.0167,75.29,6.78,TZ
upington,20,1610981353,16,-28.4478,21.2561,96.8,3.44,ZA
hidalgo,15,1610981583,79,20.5,-99,53.71,2.39,MX
theodoriana,36,1610981632,70,39.4356,21.21,24.01,3.94,GR
buraydah,0,1610981460,39,26.326,43.975,66.2,5.75,SA
conde,40,1610981632,62,-7.2597,-34.9075,86.0,13.8,BR
sola,98,1610981632,78,-13.8833,167.55,82.99,11.5,VU
aksu,99,1610981372,85,41.1231,80.2644,19.17,3.58,CN
chuy,6,1610981370,50,-33.6971,-53.4616,74.61,8.5,UY
asau,90,1610981441,73,46.4333,26.4,18.0,6.91,RO
arraial do cabo,0,1610981408,43,-22.9661,-42.0278,89.6,16.11,BR
ust-ishim,69,1610981633,90,57.6935,71.1665,-7.62,7.56,RU
makhachkala,75,1610981634,75,42.9764,47.5024,37.4,11.18,RU
camopi,94,1610981634,93,3.1655,-52.3158,79.02,4.85,GF
katangli,0,1610981634,86,51.7102,143.2326,-19.57,5.26,RU
georgetown,20,1610981311,73,5.4112,100.3354,82.0,4.61,MY
mount gambier,90,1610981469,94,-37.8333,140.7667,55.4,8.05,AU
tecpan,75,1610981634,82,14.7623,-90.9947,62.6,16.11,GT
tuchola,100,1610981635,85,53.5879,17.8591,17.01,3,PL
yining,0,1610981635,65,29.0361,114.5636,41.18,2.21,CN
nicoya,0,1610981635,78,10.1483,-85.452,75.2,2.3,CR
batagay,90,1610981635,75,67.6333,134.6333,-48.93,0.74,RU
orissaare,20,1610981635,100,58.5592,23.0826,30.99,9.22,EE
palmer,20,1610981380,65,42.1584,-72.3287,39.99,5.75,US
junin,0,1610981636,13,-34.5838,-60.9433,87.01,7.02,AR
yinchuan,0,1610981636,64,38.4681,106.2731,27.7,6.62,CN
lasa,40,1610981636,59,46.6166,10.7002,37.0,4.61,IT
giresun,75,1610981637,93,40.5,38.5,37.4,13.8,TR
lamar,1,1610981351,80,33.6668,-95.5836,46.99,6.91,US
moranbah,100,1610981637,76,-22.0016,148.0466,74.41,10.65,AU
dungarvan,100,1610981637,98,52.0881,-7.6253,48.99,3,IE
uray,32,1610981637,89,60.1247,64.7758,-8.55,7.76,RU
kampong chhnang,100,1610981474,58,12.1667,104.55,72.0,4.54,KH
kutum,96,1610981618,15,14.2,24.6667,78.87,15.19,SD
tambovka,0,1610981638,69,50.0969,128.0489,-18.4,4.47,RU
guerrero negro,0,1610981638,62,27.9769,-114.0611,56.25,2.59,MX
faya,0,1610981384,60,18.3851,42.4509,69.8,9.22,SA
nikolskoye,90,1610981379,93,59.7035,30.7861,24.8,4.47,RU
peoria,90,1610981636,86,40.7667,-89.7668,30.0,3.44,US
sherbakul,0,1610981638,77,54.6316,72.3963,-4.0,6.71,RU
bambous virieux,75,1610981435,83,-20.3428,57.7575,80.6,13.8,MU
nsanje,100,1610981638,84,-16.92,35.262,83.52,4.09,MW
codrington,81,1610981500,74,-38.2667,141.9667,57.94,11.83,AU
manokwari,100,1610981354,78,-0.8667,134.0833,78.89,2.24,ID
rawson,0,1610981403,35,-43.3002,-65.1023,76.82,11.95,AR
thunder bay,90,1610981468,92,48.4001,-89.3168,16.0,4.61,CA
kodinsk,100,1610981507,94,58.6881,99.1844,7.97,6.64,RU
oksfjord,75,1610981655,80,70.2396,22.3479,33.8,18.41,NO
gurlan,0,1610981655,65,41.8447,60.3919,42.8,4.61,UZ
mecca,26,1610981177,33,21.4267,39.8261,74.14,13.53,SA
gat,23,1610981363,9,31.61,34.7642,55.99,8.23,IL
hithadhoo,13,1610981263,65,-0.6,73.0833,81.5,4.38,MV
nahavand,43,1610981655,73,34.1885,48.377,38.88,7.34,IR
simoes,100,1610981655,37,-7.5989,-40.8178,89.04,7.72,BR
chimore,100,1610981656,95,-16.9833,-65.1333,66.43,2.19,BO
san quintin,0,1610981656,56,30.4833,-115.95,58.17,2.06,MX
sao felix do xingu,97,1610981656,86,-6.6447,-51.995,76.39,2.48,BR
lucea,20,1610981656,78,18.451,-78.1736,81.0,4.61,JM
puerto gaitan,10,1610981656,47,4.3133,-72.0816,88.16,16.98,CO
atuona,99,1610981408,77,-9.8,-139.0333,77.95,19.73,PF
tautira,20,1610981437,83,-17.7333,-149.15,75.2,2.3,PF
darhan,0,1610981656,87,49.4867,105.9228,1.62,5.61,MN
amahai,96,1610981377,93,-3.3333,128.9167,81.0,3.76,ID
beringovskiy,42,1610981657,87,63.05,179.3167,-17.82,10.71,RU
krasnaya gorbatka,100,1610981657,91,55.8703,41.7641,-4.61,2.77,RU
san javier,0,1610981657,67,37.8063,-0.8374,59.0,6.91,ES
grand gaube,79,1610981445,90,-20.0064,57.6608,79.0,5.01,MU
praia da vitoria,40,1610981610,82,38.7333,-27.0667,62.6,19.75,PT
sai buri,100,1610981657,83,6.7013,101.6168,75.18,11.45,TH
gizo,100,1610981474,77,-8.103,156.8419,82.9,9.55,SB
iwaki,14,1610981658,58,37.05,140.8833,41.0,5.01,JP
moron,0,1610981404,28,-34.6534,-58.6198,86.0,2.53,AR
takoradi,79,1610981658,71,4.8845,-1.7554,83.21,7.4,GH
eganville,40,1610981658,78,45.5334,-77.0994,10.0,9.22,CA
radcliffe,100,1610981658,78,53.55,-2.3333,46.0,1.99,GB
thompson,90,1610981102,84,55.7435,-97.8558,-9.4,2.3,CA
loandjili,20,1610981659,74,-4.7561,11.8578,86.0,14.97,CG
linares,0,1610981659,22,-35.85,-71.6,82.74,4.03,CL
ahuimanu,90,1610981659,78,21.4447,-157.8378,71.6,14.97,US
vaasa,90,1610981660,86,63.096,21.6158,28.4,6.91,FI
san patricio,75,1610981509,94,28.017,-97.5169,63.0,11.5,US
moose factory,90,1610981533,78,51.2585,-80.6094,3.2,5.75,CA
santa cruz,90,1610981660,68,-17.8,-63.1667,71.6,16.11,BO
lamba,100,1610981660,84,6.3597,124.8122,72.91,2.48,PH
cabedelo,40,1610981418,62,-6.9811,-34.8339,86.0,13.8,BR
kudeyevskiy,40,1610981661,84,54.8758,56.7567,-11.0,6.71,RU
te anau,84,1610981414,82,-45.4167,167.7167,48.38,8.52,NZ
saldanha,36,1610981417,37,-33.0117,17.9442,84.2,8.05,ZA
kudahuvadhoo,23,1610981479,73,2.6708,72.8944,82.11,11.01,MV
